Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan
4, 12, 20493, astar, 0.59, 65, 11, None, TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF
4, 12, 20493, custom-astar, 0.65, 72, 11, None, TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF
4, 12, 2881141419, bfs, 0.79, 89, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 12, 2881141419, ucs, 0.72, 81, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 12, 2881141419, gbfs, 0.23, 25, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 12, 2881141419, astar, 0.66, 73, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 12, 2881141419, custom-astar, 0.69, 77, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 16, 0, bfs, 0.62, 68, 12, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 16, 0, ucs, 0.58, 63, 12, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 16, 0, gbfs, 0.27, 29, 16, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 16, 0, astar, 0.45, 49, 12, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 16, 0, custom-astar, 0.50, 56, 12, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 16, 3735929054, bfs, 0.73, 80, 0, None, 
4, 16, 3735929054, ucs, 0.70, 80, 0, None, 
4, 16, 3735929054, gbfs, 0.71, 80, 0, None, 
4, 16, 3735929054, astar, 0.71, 80, 0, None, 
4, 16, 3735929054, custom-astar, 0.70, 80, 0, None, 
4, 16, 195936478, bfs, 0.42, 44, 0, None, 
4, 16, 195936478, ucs, 0.40, 44, 0, None, 
4, 16, 195936478, gbfs, 0.40, 44, 0, None, 
4, 16, 195936478, astar, 0.39, 44, 0, None, 
4, 16, 195936478, custom-astar, 0.41, 44, 0, None, 
4, 16, 20493, bfs, 0.84, 92, 19, None, TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF
4, 16, 20493, ucs, 0.82, 91, 19, None, TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF
4, 16, 20493, gbfs, 0.72, 80, 19, None, TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF
4, 16, 20493, astar, 0.81, 91, 19, None, TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF
4, 16, 20493, custom-astar, 0.81, 91, 19, None, TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF
4, 16, 2881141419, bfs, 0.56, 61, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 16, 2881141419, ucs, 0.49, 53, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 16, 2881141419, gbfs, 0.13, 13, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 16, 2881141419, astar, 0.41, 45, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
4, 16, 2881141419, custom-astar, 0.46, 49, 11, None, MoveF_MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_MoveF
8, 0, 0, bfs, 2.85, 318, 17, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF
8, 0, 0, ucs, 2.74, 307, 17, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF
